algo,n,mode,seed,time_limit,status,cost,opt_cost,rel_error,elapsed,iterations,opt_cost_bench,rel_error_bench,rel_error_ref,algo_display
greedy,300,uniform,4,,ok,4.964668980659476,1.640847,2.025674533127998,0.0935633182525634,,1.6408474603248129,2.02567368430256,unlimited_hungarian,Жадный
aco,500,uniform,0,250.0,ok,3.5973982158061752,1.610976,1.2330551267096315,250.1948745250702,126.0,1.610976294335256,1.2330547187167546,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,500,uniform,0,250.0,ok,1.610976294335256,1.610976,1.8270617063720351e-07,3.782630681991577,8213.0,1.610976294335256,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,500,uniform,0,,ok,1.610976294335256,1.610976,1.8270617063720351e-07,0.0156247615814208,,1.610976294335256,0.0,unlimited_hungarian,Венгерский SciPy
greedy,500,uniform,0,,ok,5.336025433528437,1.610976,2.312293562119136,0.2812502384185791,,1.610976294335256,2.3122929569427737,unlimited_hungarian,Жадный
aco,500,uniform,1,250.0,ok,3.528030676336421,1.641463,1.1493208657986327,250.25038743019104,126.0,1.641463112646663,1.1493207182998424,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,500,uniform,1,250.0,ok,1.641463112646663,1.641463,6.862577039967732e-08,3.3344571590423584,7200.0,1.641463112646663,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,500,uniform,1,,ok,1.641463112646663,1.641463,6.862577039967732e-08,0.0,,1.641463112646663,0.0,unlimited_hungarian,Венгерский SciPy
greedy,500,uniform,1,,ok,4.649550809041362,1.641463,1.8325651014012272,0.296875,,1.641463112646663,1.832564907014278,unlimited_hungarian,Жадный
aco,500,uniform,2,250.0,ok,3.3124559685374857,1.615248,1.0507414146542735,250.0833630561829,124.0,1.615247646605878,1.0507418633284833,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,500,uniform,2,250.0,ok,1.615247646605878,1.615248,-2.1878629286042894e-07,3.4531478881835938,7745.0,1.615247646605878,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,500,uniform,2,,ok,1.615247646605878,1.615248,-2.1878629286042894e-07,0.0156242847442626,,1.615247646605878,0.0,unlimited_hungarian,Венгерский SciPy
greedy,500,uniform,2,,ok,5.433739452139351,1.615248,2.364027971023243,0.2658696174621582,,1.615247646605878,2.3640287070266126,unlimited_hungarian,Жадный
aco,500,uniform,3,250.0,ok,3.714292532213357,1.592993,1.3316439759706142,250.06622123718265,126.0,1.5929932572247831,1.3316435994739697,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,500,uniform,3,250.0,ok,1.5929932572247831,1.592993,1.6147263859345173e-07,3.672471046447754,7919.0,1.5929932572247831,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,500,uniform,3,,ok,1.5929932572247831,1.592993,1.6147263859345173e-07,0.0,,1.5929932572247831,0.0,unlimited_hungarian,Венгерский SciPy
greedy,500,uniform,3,,ok,5.603580899149696,1.592993,2.517643140396534,0.3123102188110351,,1.5929932572247831,2.517642572393506,unlimited_hungarian,Жадный
aco,500,uniform,4,250.0,ok,3.143687755047502,1.724703,0.8227415126242037,250.1616976261139,123.0,1.7247032213784608,0.8227412786618007,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,500,uniform,4,250.0,ok,1.7247032213784608,1.724703,1.28357439344029e-07,3.875173807144165,8485.0,1.7247032213784608,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,500,uniform,4,,ok,1.7247032213784608,1.724703,1.28357439344029e-07,0.0154552459716796,,1.7247032213784608,0.0,unlimited_hungarian,Венгерский SciPy
greedy,500,uniform,4,,ok,4.724210113510615,1.724703,1.7391441387361275,0.2658138275146484,,1.7247032213784608,1.7391437871466449,unlimited_hungarian,Жадный
aco,1000,uniform,0,250.0,ok,4.978087337281099,1.62482,2.0637777337065644,250.8875482082367,17.0,1.6248198110858956,2.0637780899250338,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,1000,uniform,0,250.0,ok,1.6248198110858956,1.62482,-1.1626771234674038e-07,21.675461053848267,23694.0,1.6248198110858956,0.0,unlimited_hungarian,Венгерский
