algo,n,mode,seed,time_limit,status,cost,opt_cost,rel_error,elapsed,iterations,opt_cost_bench,rel_error_bench,rel_error_ref,algo_display,exp_mode
hungarian_manual,500,uniform,4,250.0,ok,1.7247032213784608,1.724703,1.28357439344029e-07,3.797067165374756,8485.0,1.7247032213784608,0.0,unlimited_hungarian,Венгерский,modeA
hungarian_scipy,500,uniform,4,,ok,1.7247032213784608,1.724703,1.28357439344029e-07,0.0154294967651367,,1.7247032213784608,0.0,unlimited_hungarian,Венгерский SciPy,modeA
greedy,500,uniform,4,,ok,4.724210113510615,1.724703,1.7391441387361275,0.2670450210571289,,1.7247032213784608,1.7391437871466449,unlimited_hungarian,Жадный,modeA
aco,1000,uniform,0,250.0,ok,5.601068780847706,1.62482,2.447193400406018,250.32424569129944,10.0,1.6248198110858956,2.447193801203355,unlimited_hungarian,Муравьиный алг-м,modeA
hungarian_manual,1000,uniform,0,250.0,ok,1.6248198110858956,1.62482,-1.162677123467404e-07,21.55483722686768,23694.0,1.6248198110858956,0.0,unlimited_hungarian,Венгерский,modeA
hungarian_scipy,1000,uniform,0,,ok,1.6248198110858956,1.62482,-1.162677123467404e-07,0.0468745231628418,,1.6248198110858956,0.0,unlimited_hungarian,Венгерский SciPy,modeA
greedy,1000,uniform,0,,ok,6.726279968165372,1.62482,3.139707763423254,1.32828688621521,,1.6248198110858956,3.1397082447376614,unlimited_hungarian,Жадный,modeA
aco,1000,uniform,1,250.0,ok,6.218191002022973,1.641331,2.788505183916573,250.0256125926972,10.0,1.6413305815376849,2.7885061498077035,unlimited_hungarian,Муравьиный алг-м,modeA
hungarian_manual,1000,uniform,1,250.0,ok,1.6413305815376849,1.641331,-2.549530321305227e-07,20.662342071533203,22860.0,1.6413305815376849,0.0,unlimited_hungarian,Венгерский,modeA
hungarian_scipy,1000,uniform,1,,ok,1.6413305815376849,1.641331,-2.549530321305227e-07,0.0468752384185791,,1.6413305815376849,0.0,unlimited_hungarian,Венгерский SciPy,modeA
greedy,1000,uniform,1,,ok,6.004178056202741,1.641331,2.658115307761043,1.359375,,1.6413305815376849,2.6581162404088707,unlimited_hungarian,Жадный,modeA
aco,1000,uniform,2,250.0,ok,5.931777151467604,1.707851,2.4732404357684623,250.42684507369995,10.0,1.7078513784263705,2.4732396661665006,unlimited_hungarian,Муравьиный алг-м,modeA
hungarian_manual,1000,uniform,2,250.0,ok,1.7078513784263705,1.707851,2.215804366656471e-07,21.740538597106934,23834.0,1.7078513784263705,0.0,unlimited_hungarian,Венгерский,modeA
hungarian_scipy,1000,uniform,2,,ok,1.7078513784263705,1.707851,2.215804366656471e-07,0.0468754768371582,,1.7078513784263705,0.0,unlimited_hungarian,Венгерский SciPy,modeA
greedy,1000,uniform,2,,ok,6.031548533166189,1.707851,2.531659689964868,1.312769889831543,,1.7078513784263705,2.531658907418344,unlimited_hungarian,Жадный,modeA
aco,1000,uniform,3,250.0,ok,5.856148548236478,1.595814,2.6696936787347885,251.10654211044312,10.0,1.5958138051694903,2.669694126762176,unlimited_hungarian,Муравьиный алг-м,modeA
hungarian_manual,1000,uniform,3,250.0,ok,1.5958138051694903,1.595814,-1.2208848254591234e-07,22.431321382522583,24612.0,1.5958138051694903,0.0,unlimited_hungarian,Венгерский,modeA
hungarian_scipy,1000,uniform,3,,ok,1.5958138051694903,1.595814,-1.2208848254591234e-07,0.0469317436218261,,1.5958138051694903,0.0,unlimited_hungarian,Венгерский SciPy,modeA
greedy,1000,uniform,3,,ok,6.83618661148264,1.595814,3.283824187206429,1.327951431274414,,1.5958138051694903,3.2838247102120874,unlimited_hungarian,Жадный,modeA
aco,1000,uniform,4,250.0,ok,5.814403914360903,1.684852,2.450987929124281,250.6649625301361,10.0,1.684851685020159,2.450988574279958,unlimited_hungarian,Муравьиный алг-м,modeA
hungarian_manual,1000,uniform,4,250.0,ok,1.684851685020159,1.684852,-1.869480767968668e-07,21.285661935806274,23524.0,1.684851685020159,0.0,unlimited_hungarian,Венгерский,modeA
hungarian_scipy,1000,uniform,4,,ok,1.684851685020159,1.684852,-1.869480767968668e-07,0.0468795299530029,,1.684851685020159,0.0,unlimited_hungarian,Венгерский SciPy,modeA
greedy,1000,uniform,4,,ok,6.49499521950475,1.684852,2.8549351631506803,1.3593895435333252,,1.684851685020159,2.8549358838235297,unlimited_hungarian,Жадный,modeA
aco,25,uniform,0,1.0,ok,1.958068892282029,1.884642,0.0389606579297443,1.0156219005584717,21.0,1.884642070812382,0.0389606188924754,unlimited_hungarian,Муравьиный алг-м,modeB
hungarian_manual,25,uniform,0,1.0,ok,1.884642070812382,1.884642,3.757338640220098e-08,0.0,85.0,1.884642070812382,0.0,unlimited_hungarian,Венгерский,modeB
hungarian_scipy,25,uniform,0,,ok,1.884642070812382,1.884642,3.757338640220098e-08,0.0,,1.884642070812382,0.0,unlimited_hungarian,Венгерский SciPy,modeB
greedy,25,uniform,0,,ok,2.789388284937999,1.884642,0.4800626776533683,0.0,,1.884642070812382,0.4800626220424034,unlimited_hungarian,Жадный,modeB
aco,25,uniform,1,1.0,ok,1.993632600432358,1.96015,0.0170816521349681,1.0036416053771973,21.0,1.9601500772153848,0.0170816120694896,unlimited_hungarian,Муравьиный алг-м,modeB
hungarian_manual,25,uniform,1,1.0,ok,1.9601500772153848,1.96015,3.939258963470138e-08,0.0,133.0,1.9601500772153848,0.0,unlimited_hungarian,Венгерский,modeB
hungarian_scipy,25,uniform,1,,ok,1.9601500772153848,1.96015,3.939258963470138e-08,0.0,,1.9601500772153848,0.0,unlimited_hungarian,Венгерский SciPy,modeB
greedy,25,uniform,1,,ok,3.112644856228399,1.96015,0.5879625825719454,0.0,,1.9601500772153848,0.5879625200179893,unlimited_hungarian,Жадный,modeB
aco,25,uniform,2,1.0,ok,1.531741604027439,1.531742,-2.585112642838894e-07,1.0021860599517822,21.0,1.531741604027439,0.0,unlimited_hungarian,Муравьиный алг-м,modeB
hungarian_manual,25,uniform,2,1.0,ok,1.531741604027439,1.531742,-2.585112642838894e-07,0.0,95.0,1.531741604027439,0.0,unlimited_hungarian,Венгерский,modeB
hungarian_scipy,25,uniform,2,,ok,1.531741604027439,1.531742,-2.585112642838894e-07,0.0156219005584716,,1.531741604027439,0.0,unlimited_hungarian,Венгерский SciPy,modeB
greedy,25,uniform,2,,ok,2.960892775743214,1.531742,0.933023169530648,0.0,,1.531741604027439,0.9330236692390408,unlimited_hungarian,Жадный,modeB
aco,25,uniform,3,1.0,ok,1.4051878696791866,1.374302,0.0224738592239455,1.0105531215667725,21.0,1.3743015712864604,0.0224741781847881,unlimited_hungarian,Муравьиный алг-м,modeB
hungarian_manual,25,uniform,3,1.0,ok,1.3743015712864604,1.374302,-3.1195002225814505e-07,0.0,108.0,1.3743015712864604,0.0,unlimited_hungarian,Венгерский,modeB
hungarian_scipy,25,uniform,3,,ok,1.3743015712864604,1.374302,-3.1195002225814505e-07,0.0,,1.3743015712864604,0.0,unlimited_hungarian,Венгерский SciPy,modeB
greedy,25,uniform,3,,ok,2.86781155245179,1.374302,1.08674043438181,0.0,,1.3743015712864604,1.0867410853407382,unlimited_hungarian,Жадный,modeB
aco,25,uniform,4,1.0,ok,1.52695702447422,1.513854,0.0086554082984355,1.0054731369018557,21.0,1.5138543342634123,0.0086551855844062,unlimited_hungarian,Муравьиный алг-м,modeB
hungarian_manual,25,uniform,4,1.0,ok,1.5138543342634123,1.513854,2.208029388217625e-07,0.0,60.0,1.5138543342634123,0.0,unlimited_hungarian,Венгерский,modeB
hungarian_scipy,25,uniform,4,,ok,1.5138543342634123,1.513854,2.208029388217625e-07,0.0,,1.5138543342634123,0.0,unlimited_hungarian,Венгерский SciPy,modeB
greedy,25,uniform,4,,ok,1.935770452619087,1.513854,0.2787035292829343,0.0,,1.5138543342634123,0.2787032469414993,unlimited_hungarian,Жадный,modeB
aco,50,uniform,0,1.0,ok,1.6446522063973767,1.165253,0.4114121194258899,1.0039949417114258,10.0,1.1652531686491898,0.411411915149672,unlimited_hungarian,Муравьиный алг-м,modeB
